axis,panel_kind,experiment_short,condition,omics,timepoint,timepoint_hours,growth_phase,n_axis_with_data,axis_score,permutation_p_raw,permutation_n_exceed,permutation_mean,permutation_sd,permutation_p_bh,sig_05,sig_01
photo,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 89,2136.0,death,22,0.7957281339636135,9.999000099990002e-05,0,-0.16602731258677522,0.20319292712843484,0.00071992800719928,True,True
photo,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 31,744.0,death,22,1.4170228271993912,9.999000099990002e-05,0,0.06978870096137352,0.20117599193982202,0.00071992800719928,True,True
photo,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 14,336.0,nutrient_limited,22,-0.0791997028309219,0.20737926207379262,2073,0.09050445685429133,0.20860440188474041,0.28266173382661736,False,False
proteotoxic,positive,proteomics_axenic,axenic,PROTEOMICS,day 89,2136.0,death,5,0.4089352657221545,0.15978402159784022,1597,-0.024279980108070826,0.44413859114075016,0.250096729457489,False,False
proteotoxic,positive,proteomics_axenic,axenic,PROTEOMICS,day 31,744.0,death,5,0.4010949264663943,0.19068093190680932,1906,0.014900935317631947,0.45028952244083587,0.27774822517748227,False,False
proteotoxic,positive,proteomics_axenic,axenic,PROTEOMICS,day 14,336.0,nutrient_limited,5,0.0792493700614839,0.4627537246275372,4627,0.018554890208708236,0.45335687254133983,0.4714849269790002,False,False
proteotoxic,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 89,2136.0,death,27,0.0877847818151853,0.31916808319168083,3191,-0.00011732736642535535,0.1916907180588917,0.3746755759206688,False,False
proteotoxic,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 31,744.0,death,27,0.0370186256193458,0.4343565643435656,4343,0.0015071223535917248,0.19397607269068676,0.45544183445733094,False,False
proteotoxic,cyanorak,proteomics_axenic,axenic,PROTEOMICS,day 14,336.0,nutrient_limited,27,-0.2405084639227089,0.10948905109489052,1094,0.002235090955716177,0.19567307018027363,0.19708029197080293,False,False
cell_death,positive,rnaseq_coculture,coculture,RNASEQ,day 31,744.0,nutrient_limited,3,0.8788153315763573,0.0655934406559344,655,0.0979409243843966,0.5756680736786374,0.14758524147585242,False,False
cell_death,positive,rnaseq_coculture,coculture,RNASEQ,day 89,2136.0,nutrient_limited,3,0.9175476661256516,0.08339166083391661,833,0.18057969484164776,0.5726118091412572,0.17319806480890373,False,False
