locus_tag,gene_name,direction,signature_type,tolonen_peak_timepoint,tolonen_best_dir_rank,tolonen_best_global_rank,read_peak_timepoint,read_best_dir_rank,read_best_global_rank,cross_study_best_dir_rank,product,gene_category
PMM1604,ndhS,down,read_only_tolonen_ns,,,,12h,92.0,199,92.0,NADH dehydrogenase I subunit NdhS,Carbohydrate metabolism
PMM0103,,up,tolonen_only_read_ns,12h,92.0,288,,,,92.0,uncharacterised conserved protein UCP037673,Coenzyme metabolism
PMM0580,clpB1,down,tolonen_only_read_ns,24h,93.0,210,,,,93.0,ATP-dependent Clp protease ATP-binding subunit ClpB,Stress response and adaptation
PMM1106,ycf54,up,tolonen_only_read_absent,12h,93.0,289,,,,93.0,protochlorophyllide synthesis factor Ycf54,Coenzyme metabolism
PMM0153,metF,down,read_only_tolonen_ns,,,,12h,95.0,205,95.0,"5,10-methylenetetrahydrofolate reductase",Central intermediary metabolism
PMM1596,icd,up,tolonen_only_read_ns,12h,95.0,296,,,,95.0,isocitrate dehydrogenase,Carbohydrate metabolism
PMM1264,ftsH4,down,tolonen_only_read_ns,12h,95.0,172,,,,95.0,cell division protein FtsH,Stress response and adaptation
PMM1685,speE,up,read_only_tolonen_ns,,,,24h,95.0,211,95.0,spermidine synthase,Amino acid metabolism
PMM1388,,up,read_only_tolonen_ns,,,,24h,96.0,214,96.0,conserved hypothetical protein,Stress response and adaptation
PMM1073,opcA,up,tolonen_only_read_absent,12h,96.0,297,,,,96.0,glucose 6-phosphate dehydrogenase assembly protein,Cellular processes
PMM1483,rpoC2,down,tolonen_only_read_ns,6h,96.0,235,,,,96.0,"DNA-directed RNA polymerase, beta^^ subunit",Transcription
PMM0851,,down,read_only_tolonen_ns,,,,24h,97.0,185,97.0,"HAD hydrolase, IA, variant 3 family protein",Unknown
PMM0777,,up,tolonen_only_read_ns,6h,97.0,298,,,,97.0,pentapeptide repeats family protein,Unknown
PMM0253,psbI,down,tolonen_only_read_ns,12h,98.0,180,,,,98.0,photosystem II reaction center protein PsbI,Photosynthesis
PMM0027,accB,down,tolonen_only_read_ns,6h,98.0,239,,,,98.0,"acetyl-CoA carboxylase, biotin carboxyl carrier protein",Lipid metabolism
PMM0264,lytB,down,read_only_tolonen_ns,,,,12h,98.0,212,98.0,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Coenzyme metabolism
PMM0305,ppeB,down,read_only_tolonen_ns,,,,24h,98.0,188,98.0,"phycoerythrin class III, beta subunit",Photosynthesis
PMM0704,,up,read_only_tolonen_ns,,,,24h,98.0,219,98.0,"potassium ion channel, VIC family",Stress response and adaptation
PMM0033,,up,tolonen_only_read_ns,12h,99.0,305,,,,99.0,"conserved membrane protein, ArbrB family",Unknown
PMM0215,hemB,down,tolonen_only_read_absent,6h,99.0,240,,,,99.0,delta-aminolevulinic acid dehydratase,Coenzyme metabolism
PMM1697,rpoD4,up,tolonen_only_read_ns,12h,100.0,308,,,,100.0,"RNA polymerase sigma factor, type II",Transcription
PMM0388,miaE,up,read_only_tolonen_ns,,,,24h,100.0,227,100.0,putative tRNA-(MS[2]IO[6]A)-hydroxylase,Translation
PMM0902,rpmB,down,tolonen_only_read_ns,12h,100.0,184,,,,100.0,50S ribosomal protein L28,Stress response and adaptation
PMM0929,secD,down,tolonen_only_read_absent,24h,100.0,231,,,,100.0,preprotein translocase SecD subunit,Post-translational modification
PMM0163,pspE,down,read_only_tolonen_ns,,,,24h,100.0,193,100.0,rhodanese-like domain protein,Inorganic ion transport
PMM0536,folE,down,tolonen_only_read_ns,6h,101.0,247,,,,101.0,GTP cyclohydrolase I,Coenzyme metabolism
PMM0342,,up,tolonen_only_read_ns,6h,101.0,315,,,,101.0,"helper component proteinase, Prochlorococcus-specific",Unknown
PMM0584,glgB,down,tolonen_only_read_absent,12h,101.0,188,,,,101.0,"1,4-alpha-glucan branching enzyme",Carbohydrate metabolism
PMM1251,,down,tolonen_only_read_ns,6h,102.0,248,,,,102.0,carbamoyltransferase family protein,Post-translational modification
PMM0557,,down,read_only_tolonen_ns,,,,12h,102.0,225,102.0,conserved hypothetical protein (DUF3136),Unknown
PMM0301,mtnP,up,read_only_tolonen_ns,,,,24h,102.0,229,102.0,methylthioadenosine phosphorylase,Nucleotide metabolism
PMM0172,ndhH,up,tolonen_only_read_ns,6h,102.0,317,,,,102.0,NADH dehydrogenase I subunit NdhH (chain 7 or delta),Carbohydrate metabolism
PMM0500,APE1,down,tolonen_only_read_ns,24h,103.0,234,,,,103.0,acclimation of photosynthesis to environment protein,Stress response and adaptation
PMM0159,ndhI,up,tolonen_only_read_ns,12h,103.0,316,,,,103.0,NADH dehydrogenase I subunit NdhI,Carbohydrate metabolism
PMM0924,ycf53,down,tolonen_only_read_absent,6h,103.0,253,,,,103.0,ferredoxin-interacting protein Ycf53,Coenzyme metabolism
PMM1509,fusA,down,tolonen_only_read_ns,6h,104.0,239,,,,104.0,elongation factor G,Translation
PMM0546,,up,read_only_tolonen_ns,,,,24h,104.0,234,104.0,conserved hypothetical protein,Unknown
PMM0243,thyx,up,tolonen_only_read_ns,12h,104.0,319,,,,104.0,thymidylate synthase,Nucleotide metabolism
PMM1512,glsF,up,tolonen_only_read_ns,6h,104.0,321,,,,104.0,ferredoxin-dependent glutamate synthase,Stress response and adaptation
PMM0412,,up,read_only_tolonen_ns,,,,24h,105.0,236,105.0,thioredoxin family protein,Nucleotide metabolism
PMM0926,psb28,down,read_only_tolonen_ns,,,,12h,106.0,245,106.0,photosystem II reaction centre Psb28 protein,Photosynthesis
PMM1179,,up,read_only_tolonen_ns,,,,24h,106.0,240,106.0,eamA-like transporter family protein,Transport
PMM0534,accA,down,read_only_tolonen_ns,,,,12h,107.0,249,107.0,"acetyl-CoA carboxylase, carboxyl transferase alpha subunit",Lipid metabolism
PMM1374,,down,tolonen_only_read_absent,24h,107.0,251,,,,107.0,conserved hypothetical protein,Unknown
PMM1522,,down,tolonen_only_read_absent,12h,107.0,203,,,,107.0,"beta-glycosyltransferase, family 2",Cell wall and membrane
PMM0015,msrB,up,tolonen_only_read_ns,6h,107.0,337,,,,107.0,peptide methionine-R-sulfoxide reductase,Stress response and adaptation
PMM1229,pdhA,down,tolonen_only_read_ns,6h,108.0,279,,,,108.0,pyruvate dehydrogenase E1 component alpha subunit,Amino acid metabolism
PMM1060,hisH,down,tolonen_only_read_ns,12h,108.0,204,,,,108.0,"imidazole glycerol phosphate synthase, HisH subunit",Amino acid metabolism
PMM0736,,up,tolonen_only_read_ns,6h,108.0,345,,,,108.0,uncharacterized conserved lipoprotein,Unknown
PMM1296,,up,tolonen_only_read_ns,6h,109.0,375,,,,109.0,putative membrane protein,Cell wall and membrane
PMM1318,,down,read_only_tolonen_ns,,,,24h,109.0,210,109.0,conserved hypothetical protein,Unknown
PMM1042,,down,read_only_tolonen_ns,,,,12h,109.0,254,109.0,pentapeptide repeats family protein,Unknown
PMM0963,ureC,up,read_only_tolonen_ns,,,,24h,110.0,256,110.0,urease alpha subunit,Stress response and adaptation
PMM0444,ctaEI,up,tolonen_only_read_absent,12h,110.0,336,,,,110.0,cytochrome c oxidase subunit III,Carbohydrate metabolism
PMM0999,,down,read_only_tolonen_ns,,,,24h,110.0,212,110.0,conserved hypothetical protein,Unknown
PMM0017,dnaJ1,down,tolonen_only_read_ns,6h,111.0,293,,,,111.0,DnaJ type I chaperone protein,Stress response and adaptation
PMM0558,ridA,up,tolonen_only_read_ns,6h,111.0,405,,,,111.0,reactive intermediate/imine deaminase A,Transcription
PMM0317,psbM,down,read_only_tolonen_ns,,,,24h,111.0,213,111.0,photosystem II reaction center protein PsbM,Photosynthesis
PMM1363,,up,tolonen_only_read_ns,12h,111.0,338,,,,111.0,conserved hypothetical protein,Unknown
PMM0553,csoSCA,down,tolonen_only_read_absent,12h,112.0,213,,,,112.0,carboxysomal carbonic anhydrase,Photosynthesis
PMM1441,,down,read_only_tolonen_ns,,,,24h,112.0,216,112.0,conserved hypothetical protein,Unknown
PMM0284,degT,down,read_only_tolonen_ns,,,,12h,112.0,260,112.0,putative pleiotropic regulatory protein,Regulatory functions
PMM0806,,up,read_only_tolonen_ns,,,,24h,112.0,263,112.0,"possible transcriptional regulator of iron metabolism, Crp/Fnr family protein",Stress response and adaptation
PMM0288,chlD,down,tolonen_only_read_absent,6h,112.0,295,,,,112.0,"protoporphyrin IX Mg-chelatase, subunit ChlD",Coenzyme metabolism
PMM0463,,up,tolonen_only_read_absent,12h,112.0,340,,,,112.0,conserved hypothetical protein,Unknown
PMM0169,ycf29,up,tolonen_only_read_absent,6h,113.0,364,,,,113.0,"two-component response regulator, NarL subfamily",Stress response and adaptation
PMM0483,hemL,down,tolonen_only_read_ns,24h,113.0,266,,,,113.0,"glutamate-1-semialdehyde-2,1-aminomutase",Coenzyme metabolism
PMM0998,,up,read_only_tolonen_ns,,,,24h,114.0,272,114.0,conserved hypothetical protein,Unknown
PMM1117,psbY,down,read_only_tolonen_absent,,,,24h,114.0,220,114.0,photosystem II PsbY protein,Photosynthesis
PMM1461,queF,up,tolonen_only_read_absent,12h,114.0,343,,,,114.0,7-cyano-7-deazaguanine reductase,Coenzyme metabolism
PMM1600,nhaS,down,tolonen_only_read_ns,6h,114.0,311,,,,114.0,"Na+/H+ antiporter, CPA2 family",Transport
PMM1570,cobO-1,down,read_only_tolonen_ns,,,,12h,115.0,264,115.0,cob(I)alamin adenosyltransferase family protein,Coenzyme metabolism
PMM0800,,down,read_only_tolonen_absent,,,,24h,116.0,222,116.0,conserved hypothetical protein,Unknown
PMM0056,,down,tolonen_only_read_ns,6h,116.0,332,,,,116.0,conserved hypothetical protein,Unknown
PMM0638,arsS,up,tolonen_only_read_ns,12h,116.0,348,,,,116.0,radical SAM/Cys-rich domain protein,Stress response and adaptation
PMM0311,metK,down,read_only_tolonen_ns,,,,12h,118.0,258,118.0,methionine adenosyltransferase,Amino acid metabolism
PMM0328,mutM,down,read_only_tolonen_ns,,,,24h,118.0,231,118.0,formamidopyrimidine-DNA glycolase,Replication and repair
PMM1664,thiG,down,tolonen_only_read_absent,12h,119.0,234,,,,119.0,thiazole synthase,Coenzyme metabolism
PMM0515,psp,down,read_only_tolonen_ns,,,,24h,119.0,232,119.0,phosphoserine phosphatase,Amino acid metabolism
PMM1079,,down,tolonen_only_read_ns,6h,120.0,353,,,,120.0,putative cAMP phosphodiesterase class-II,Unknown
PMM0945,dnaE,up,tolonen_only_read_absent,12h,122.0,369,,,,122.0,"DNA polymerase III, alpha subunit",Replication and repair
PMM0814,,down,read_only_tolonen_ns,,,,12h,123.0,316,123.0,conserved hypothetical protein,Unknown
PMM1530,rpmE,down,tolonen_only_read_ns,12h,124.0,249,,,,124.0,50S ribosomal protein L31,Translation
PMM1665,sqdB,down,read_only_tolonen_ns,,,,24h,124.0,242,124.0,UDP-sulfoquinovose synthase,Stress response and adaptation
PMM0239,,down,read_only_tolonen_ns,,,,24h,125.0,246,125.0,conserved hypothetical protein,Unknown
PMM0911,,up,tolonen_only_read_absent,12h,127.0,379,,,,127.0,"possible pyrophosphatase, MazG family",Unknown
PMM0961,gmgG,up,tolonen_only_read_absent,12h,129.0,385,,,,129.0,possible glucosyl(mannosyl)glycerate-glucosidase,Stress response and adaptation
PMM0136,fabH,down,read_only_tolonen_ns,,,,24h,129.0,251,129.0,beta-ketoacyl-(acyl-carrier-protein) synthase III (KASIII),Lipid metabolism
PMM1075,petH,up,tolonen_only_read_ns,12h,131.0,394,,,,131.0,ferredoxin--NADP+ reductase (FNR),Stress response and adaptation
PMM1317,hli6,down,read_only_tolonen_ns,,,,24h,131.0,261,131.0,high light inducible protein,Stress response and adaptation
PMM1309,ftsZ,up,tolonen_only_read_ns,12h,132.0,395,,,,132.0,cell division protein FtsZ,Cell cycle and division
PMM0299,psbL,down,tolonen_only_read_ns,24h,132.0,320,,,,132.0,photosystem II reaction center protein PsbL,Photosynthesis
PMM0894,ppiB,down,read_only_tolonen_ns,,,,24h,132.0,267,132.0,peptidyl-prolyl cis-trans isomerase,Post-translational modification
PMM1182,,down,tolonen_only_read_absent,24h,133.0,337,,,,133.0,uncharacterized conserved lipoprotein (DUF2808),Unknown
PMM1611,thiC,up,tolonen_only_read_ns,12h,135.0,418,,,,135.0,thiamine biosynthesis protein,Coenzyme metabolism
PMM1247,,down,tolonen_only_read_absent,24h,136.0,352,,,,136.0,hypothetical protein,Unknown
PMM0012,argH,up,tolonen_only_read_absent,12h,136.0,419,,,,136.0,argininosuccinate lyase,Amino acid metabolism
PMM1617,,down,tolonen_only_read_ns,12h,136.0,278,,,,136.0,conserved hypothetical protein,Unknown
PMM0318,prmC,down,read_only_tolonen_ns,,,,24h,137.0,279,137.0,"protein-(glutamine-N5) methyltransferase, release factor-specific",Translation
PMM0642,metY,down,tolonen_only_read_ns,24h,139.0,432,,,,139.0,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism
PMM0611,glmU,up,tolonen_only_read_absent,12h,140.0,436,,,,140.0,bifunctional N-acetylglucosamine-1-phosphate uridyltransferase/glucosamine-1-phosphate acetyltransferase,Cell wall and membrane
PMM0265,,down,tolonen_only_read_ns,24h,140.0,398,,,,140.0,doxX family protein,Unknown
PMM0294,ndhC,up,tolonen_only_read_ns,12h,142.0,445,,,,142.0,NADH dehydrogenase I subunit NdhC (chain 3 or alpha),Carbohydrate metabolism
PMM0378,,up,tolonen_only_read_ns,12h,144.0,456,,,,144.0,conserved hypothetical protein (DUF3303),Unknown
PMM0907,dxs,down,tolonen_only_read_ns,12h,144.0,322,,,,144.0,1-deoxy-D-xylulose-5-phosphate synthase,Coenzyme metabolism
PMM1331,,up,tolonen_only_read_ns,12h,145.0,457,,,,145.0,conserved hypothetical protein,Replication and repair
PMM1116,trmFO,down,read_only_tolonen_ns,,,,24h,146.0,304,146.0,methylenetetrahydrofolate--tRNA-(uracil(54)-C(5))-methyltransferase (FADH(2)-oxidizing),Translation
PMM1650,ycf23,down,read_only_tolonen_ns,,,,24h,147.0,306,147.0,uncharacterized conserved TIM barrel-containing protein (Ycf23),Nucleotide metabolism
PMM0297,psbE,down,tolonen_only_read_ns,12h,148.0,341,,,,148.0,"cytochrome b559, alpha subunit",Photosynthesis
PMM0298,psbF1,down,tolonen_only_read_ns,12h,149.0,346,,,,149.0,"cytochrome b559, beta subunit",Photosynthesis
PMM0405,pdhC,down,read_only_tolonen_ns,,,,24h,149.0,313,149.0,"pyruvate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component",Carbohydrate metabolism
PMM0983,,down,read_only_tolonen_ns,,,,24h,152.0,318,152.0,"uncharacterized secreted protein, Prochlorococcus-specific",Unknown
PMM1485,rpoB,down,tolonen_only_read_ns,12h,155.0,386,,,,155.0,"DNA-directed RNA polymerase, beta subunit",Transcription
PMM0853,rpmF,down,read_only_tolonen_ns,,,,24h,156.0,336,156.0,50S ribosomal protein L32,Translation
PMM0462,petC,down,read_only_tolonen_ns,,,,24h,157.0,337,157.0,cytochrome b6-f complex iron-sulfur subunit,Carbohydrate metabolism
PMM0275,pyrE,down,read_only_tolonen_ns,,,,24h,163.0,390,163.0,orotate phosphoribosyltransferase,Nucleotide metabolism
PMM1148,,down,read_only_tolonen_ns,,,,24h,164.0,415,164.0,conserved hypothetical protein,Unknown
PMM0493,cxp,down,read_only_tolonen_ns,,,,24h,166.0,440,166.0,carboxypeptidase Taq (M32) metallopeptidase,Post-translational modification
