"gene_name","locus_tag","experiment_id","treatment_types","expression_status"
"cynS","PMM0373","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"urtC","PMM0972","10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray","nitrogen","not_significant"
"cynS","PMM0373","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"cynS","PMM0373","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"urtB","PMM0971","10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray","nitrogen","not_significant"
"cynS","PMM0373","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen","not_significant"
"urtD","PMM0973","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtE","PMM0974","10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray","nitrogen","not_significant"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"urtC","PMM0972","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtD","PMM0973","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"urtC","PMM0972","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"urtD","PMM0973","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture","nitrogen","not_significant"
"amt1","PMM0263","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"urtA","PMM0970","10.1021/pr060460c_light_HL_vs_LL_med4_proteomics","light","not_significant"
"urtD","PMM0973","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"cynD","PMM0372","10.1038/msb4100087_growth_medium_growth_on_urea_as_med4_microarray","nitrogen","not_significant"
"urtD","PMM0973","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtA","PMM0970","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture","nitrogen","not_significant"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
"urtC","PMM0972","10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray","nitrogen","not_significant"
"amt1","PMM0263","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtA","PMM0970","10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq","nitrogen","not_significant"
"urtC","PMM0972","10.1038/msb4100087_nitrogen_nitrogen_deprivation_med4_med4_microarray","nitrogen","not_significant"
"urtB","PMM0971","10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic","nitrogen","not_significant"
