strain,organism_name_kg,locus_tag,gene_name,product,gene_category,term_id
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro0800,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1038,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1616,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1668,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1724,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),Pro1831,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW0275,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW0374,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW0462,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW1425,merR,aliphatic nitrilase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2053,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2132,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2438,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2439,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2440,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2441,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2442,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2443,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2444,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2445,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2446,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2447,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2448,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2449,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2460,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2462,nrtP,nitrate transporter,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2463,nrtP,nitrate transporter,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2464,narB,nitrate reductase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2468,moaC,molybdenum cofactor biosynthesis protein C,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2469,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2472,moaE,molybdenum cofactor biosynthesis protein E (molydbopterin converting factor large subunit),Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2473,moaD,molydbenum cofactor biosynthesis protein D (molybdopterin converting factor small subunit),Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2474,moaB,molybdenum cofactor biosynthesis protein B,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW2477,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH8102,Synechococcus WH8102,SYNW0253,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW0275,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW0374,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW0462,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW0673,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW0674,,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW0675,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW0851,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW1026,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW1073,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW1425,merR,aliphatic nitrilase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2053,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2132,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2376,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2438,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2439,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2440,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2441,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2442,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2443,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2444,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2445,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2446,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2447,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2448,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2449,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2460,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2461,mobA,molybdenum cofactor guanylyltransferase,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2462,nrtP,nitrate transporter,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2463,nrtP,nitrate transporter,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2464,narB,nitrate reductase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2465,narM,nitrate reductase associated protein,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2468,moaC,molybdenum cofactor biosynthesis protein C,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2469,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2472,moaE,molybdenum cofactor biosynthesis protein E (molydbopterin converting factor large subunit),Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2473,moaD,molydbenum cofactor biosynthesis protein D (molybdopterin converting factor small subunit),Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2474,moaB,molybdenum cofactor biosynthesis protein B,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2477,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2485,cynD,cyanate ABC transporter ATP-binding protein,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2486,cynB,"cyanate ABC transporter, permease protein",Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2487,cynA,"cyanate ABC transporter, substrate-binding protein",Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,SYNW2490,cynS,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH8102,Synechococcus WH8102,TX72_RS12565,cynH,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0319,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0385,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0448,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0599,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_1458,glnN1,"glutamine synthetase, type III",Amino acid metabolism,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2035,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2478,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2480,nrtP,nitrate transporter,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2481,narB,nitrate reductase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2484,moaC,molybdenum cofactor biosynthesis protein C,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2485,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2486,moaE,molybdenum cofactor biosynthesis protein E (molydbopterin converting factor large subunit),Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2487,moaD,molydbenum cofactor biosynthesis protein D (molybdopterin converting factor small subunit),Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2488,moaB,molybdenum cofactor biosynthesis protein B,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2492,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2493,focA,"nitrite transporter, FNT family",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0297,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0319,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0385,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0448,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0585,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0586,metB,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0587,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_0599,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_1061,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_1347,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_1407,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_1458,glnN1,"glutamine synthetase, type III",Amino acid metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2035,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2414,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2478,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2479,mobA,molybdenum cofactor guanylyltransferase,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2480,nrtP,nitrate transporter,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2481,narB,nitrate reductase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2482,narM,nitrate reductase associated protein,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2484,moaC,molybdenum cofactor biosynthesis protein C,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2485,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2486,moaE,molybdenum cofactor biosynthesis protein E (molydbopterin converting factor large subunit),Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2487,moaD,molydbenum cofactor biosynthesis protein D (molybdopterin converting factor small subunit),Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2488,moaB,molybdenum cofactor biosynthesis protein B,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2492,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2495,cynS,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus WH7803,Synechococcus WH7803,SynWH7803_2496,cynH,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_0316,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_0387,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_0452,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_1253,glnN1,"glutamine synthetase, type III",Amino acid metabolism,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_1472,ntrX,nitrogen assimilation regulatory protein,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_1571,,"putative urea transporter, UT family",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2331,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2868,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2869,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2870,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2871,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2872,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2873,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2874,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2875,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2876,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2877,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2878,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2879,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2885,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2887,nrtP,nitrate transporter,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2888,narB,nitrate reductase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2891,moaC,molybdenum cofactor biosynthesis protein C,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2892,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2893,moaE,molybdenum cofactor biosynthesis protein E (molydbopterin converting factor large subunit),Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2894,moaD,molydbenum cofactor biosynthesis protein D (molybdopterin converting factor small subunit),Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2895,moaB,molybdenum cofactor biosynthesis protein B,Coenzyme metabolism,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2898,nirA,ferredoxin--nitrite reductase,Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_2899,focA,"nitrite transporter, FNT family",Stress response and adaptation,cyanorak.role:D.1.3
Synechococcus CC9311,Synechococcus CC9311,sync_0293,amt1,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_0316,ntcA,global nitrogen regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_0387,glsF,ferredoxin-dependent glutamate synthase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_0452,moeB,molybdopterin biosynthesis protein MoeB,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_0620,cysK,O-acetylserine sulfhydrylase A,Amino acid metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_0622,,"O-succinylhomoserine(thiol)-lyase, MetB-like protein",Amino acid metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_0623,metB,O-succinylhomoserine(thiol)-lyase,Amino acid metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_1180,metY,O-acetylhomoserine aminocarboxypropyltransferase,Amino acid metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_1253,glnN1,"glutamine synthetase, type III",Amino acid metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_1472,ntrX,nitrogen assimilation regulatory protein,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_1569,glnA,"glutamine synthetase, type I",Amino acid metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_1571,,"putative urea transporter, UT family",Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_1636,carA,carbamoyl-phosphate synthase small subunit,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2280,amt2,ammonium transporter,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2331,glnB,nitrogen regulatory protein P-II,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2790,metC,cystathionine beta-lyase family aluminum resistance protein,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2840,cynH,cyanate hydratase,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2868,urtE,"ABC-type urea transporter, ATPase component UrtE",Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2869,urtD,"ABC-type urea transporter, ATP-binding component UrtD",Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2870,urtC,"ABC-type urea transporter, membrane component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2871,urtB,"ABC-type urea transporter, permease component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2872,urtA,"ABC-type urea transporter, substrate binding component",Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2873,ureG,urease accessory protein UreG,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2874,ureF,urease accessory protein UreF,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2875,ureE,urease accessory protein UreE,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2876,ureD,urease accessory protein UreD,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2877,ureA,urease gamma subunit,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2878,ureB,urease beta subunit,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2879,ureC,urease alpha subunit,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2885,moaA,molybdenum cofactor biosynthesis protein A,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2886,mobA,molybdenum cofactor guanylyltransferase,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2887,nrtP,nitrate transporter,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2888,narB,nitrate reductase,Stress response and adaptation,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2889,narM,nitrate reductase associated protein,Central intermediary metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2891,moaC,molybdenum cofactor biosynthesis protein C,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2892,moeA,molybdopterin biosynthesis protein MoeA,Coenzyme metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2893,moaE,molybdenum cofactor biosynthesis protein E (molydbopterin converting factor large subunit),Coenzyme metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2894,moaD,molydbenum cofactor biosynthesis protein D (molybdopterin converting factor small subunit),Coenzyme metabolism,cyanorak.role:E.4
Synechococcus CC9311,Synechococcus CC9311,sync_2895,moaB,molybdenum cofactor biosynthesis protein B,Coenzyme metabolism,cyanorak.role:E.4
