category,omics,timepoint,timepoint_hours,ontology,experiment_id,class,background_used,organism,score_up,score_down,final_score,n_up_sig,n_down_sig,n_up_total,n_down_total,n_total_sig,n_total_terms
coculture,Prot,day 60,1440.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,2.2739040542246824,0.2993465058478715,0.62843943057734,1,1,1,5,2,97
coculture,Prot,day 89,2136.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,3.498917594856927,0.0,0.9996907413876934,1,0,2,5,3,69
coculture,Prot,day 89,2136.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,2.048047559838242,0.5278069924444213,0.7811804203433915,1,1,1,5,10,97
coculture,Prot,days 60+89,,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,4.955992717259095,0.0,1.4159979192168843,2,0,2,5,4,69
coculture,Prot,days 60+89,,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,T,table_scope,Prochlorococcus MED4,2.1022575526879312,0.45114998414269775,0.7263345789002367,1,1,1,5,5,97
axenic_dying,RNA,day 14,336.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,T,table_scope,Prochlorococcus MED4,0.909829952913902,4.990030530114643,3.824258936628717,1,5,2,5,8,69
axenic_dying,RNA,day 14,336.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,T,table_scope,Prochlorococcus MED4,0.0,4.42022290457614,3.683519087146783,0,3,1,5,6,97
coculture,RNA,day 18,432.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,2,5,0,69
coculture,RNA,day 18,432.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,1,5,0,97
coculture,RNA,day 31,744.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,2,5,0,69
coculture,RNA,day 31,744.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.30055246778599803,0.250460389821665,0,1,1,5,1,97
coculture,RNA,day 60,1440.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.7169387046420248,0.5120990747443034,0,2,2,5,2,69
coculture,RNA,day 60,1440.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,1.6475340264054033,1.3729450220045027,0,1,1,5,1,97
coculture,RNA,day 89,2136.0,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,2,5,1,69
coculture,RNA,day 89,2136.0,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,1,5,0,97
coculture,RNA,days 60+89,,cyanorak_role,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,2,5,0,69
coculture,RNA,days 60+89,,kegg,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,T,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,1,5,0,97
,Microarray,45 min,0.75,cyanorak_role,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,NC,organism,Prochlorococcus MED4,2.0029638138849317,0.4977715228797336,0.927826463166933,1,1,2,5,3,69
,Microarray,45 min,0.75,kegg,10.1128/JB.01097-06_light_stress_high_white_light_55_med4_microarray,NC,organism,Prochlorococcus MED4,0.0,0.30566759810804617,0.2547229984233718,0,1,1,5,2,97
,Prot,24h,24.0,cyanorak_role,10.1128/mSystems.00008-17_azaserine_ss120_proteomics,CTX,organism,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),0.0,0.0,0.0,0,0,2,5,2,69
,Prot,24h,24.0,kegg,10.1128/mSystems.00008-17_azaserine_ss120_proteomics,CTX,organism,Prochlorococcus marinus subsp. marinus CCMP1375 (SS120),0.0,-0.5130643160935348,-0.4275535967446123,0,1,1,5,3,97
,Prot,darkness,,cyanorak_role,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,NC,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,2,5,0,69
,Prot,darkness,,kegg,10.1128/spectrum.03275-22_dark_high_glucose_med4_proteomics,NC,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,1,5,0,97
,Prot,stationary,,cyanorak_role,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,NC,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,2,5,0,69
,Prot,stationary,,kegg,10.1128/spectrum.03275-22_light_high_glucose_med4_proteomics,NC,table_scope,Prochlorococcus MED4,0.0,0.0,0.0,0,0,1,5,0,97
