priority,in_cyanorak,kind,kg_fit_score,n_seeds,seeds,pools,best_identity,year,title,doi,pmcid,pmid,homolog_genera,meta
2,False,other,1,1,PMT9312_0550,pro,75,2024,Direct interaction between marine cyanobacteria mediated by nanotubes,10.1126/sciadv.adj1539,PMC11114229,,Synechococcus,"Angulo-Cánovas, Science advances 2024"
2,False,other,1,1,PMT9312_0550,pro,75,2011,"In situ dynamics of O2, pH and cyanobacterial transcripts associated with CCM, photosynthesis and detoxification of ROS",10.1038/ismej.2010.131,PMC3105686,,Synechococcus,"Jensen, The ISME journal 2011"
2,False,other,1,1,PMT9312_0550,pro,75,2016,Genetic tools for advancement of Synechococcus sp. PCC 7002 as a cyanobacterial chassis,10.1186/s12934-016-0584-6,PMC5105302,,Synechococcus,"Ruffing, Microbial cell factories 2016"
2,False,other,1,1,PMT9312_0550,pro,75,2020,The response of Synechococcus sp. PCC 7002 to micro-/nano polyethylene particles - Investigation of a key anthropogenic stressor,10.1371/journal.pone.0232745,PMC7329024,,Synechococcus,"Machado, PloS one 2020"
2,False,other,1,1,PMT9312_0550,pro,74,2023,Increased Biomass and Polyhydroxybutyrate Production by Synechocystis sp. PCC 6803 Overexpressing RuBisCO Genes,10.3390/ijms24076415,PMC10094337,,Synechocystis,"Tharasirivat, International journal of molecular sciences 2023"
2,False,other,1,1,PMT9312_0550,pro,74,2023,Characterization of cyanobacterial isolates from freshwater and saline subtropical desert lakes,10.1007/s12223-022-01016-w,PMC10205856,,Phormidium;Synechocystis,"Shawer, Folia microbiologica 2023"
2,False,other,1,1,PMT9312_0550,pro,74,2024,Insufficient Acetyl-CoA Pool Restricts the Phototrophic Production of Organic Acids in Model Cyanobacteria,10.3390/ijms252111769,PMC11546870,,Synechococcus,"You, International journal of molecular sciences 2024"
2,False,other,1,1,PMT9312_0550,pro,74,2025,CyanoTag: Discovery of protein function facilitated by high-throughput endogenous tagging in a photosynthetic prokaryote,10.1126/sciadv.adp6599,PMC11804935,,Synechococcus,"Perrin, Science advances 2025"
2,False,other,1,1,PMT9312_0550,pro,74,2026,CyanoConstruct: simple platform for cyanobacterial expression construct assembly and translational tuning,10.1186/s12896-025-01098-7,PMC13041217,,Synechocystis,"Venero, BMC biotechnology 2026"
2,False,other,1,1,PMT9312_0550,pro,74,2016,Unique attributes of cyanobacterial metabolism revealed by improved genome-scale metabolic modeling and essential gene analysis,10.1073/pnas.1613446113,PMC5187688,,Synechococcus,"Broddrick, Proceedings of the National Academy of Sciences of the United States of America 2016"
2,False,other,1,1,PMT9312_0550,pro,74,2019,Roles of RbcX in Carboxysome Biosynthesis in the Cyanobacterium Synechococcus elongatus PCC7942,10.1104/pp.18.01217,PMC6324234,,Synechococcus,"Huang, Plant physiology 2019"
2,False,other,1,1,PMT9312_0550,pro,74,2020,Rubisco accumulation factor 1 (Raf1) plays essential roles in mediating Rubisco assembly and carboxysome biogenesis,10.1073/pnas.2007990117,PMC7382273,,Synechococcus,"Huang, Proceedings of the National Academy of Sciences of the United States of America 2020"
2,False,other,1,1,PMT9312_0550,pro,74,1999,"Unusual ribulose 1,5-bisphosphate carboxylase/oxygenase of anoxic Archaea",10.1128/jb.181.5.1569-1575.1999,PMC93548,,Synechococcus,"Watson, Journal of bacteriology 1999"
2,False,other,1,1,PMT9312_0550,pro,73,2014,"Transcriptomic and proteomic dynamics in the metabolism of a diazotrophic cyanobacterium, Cyanothece sp. PCC 7822 during a diurnal light-dark cycle",10.1186/1471-2164-15-1185,PMC4320622,,Gloeothece,"Welkie, BMC genomics 2014"
2,False,other,1,1,PMT9312_0550,pro,72,2013,Proteomic analysis and qRT-PCR verification of temperature response to Arthrospira (Spirulina) platensis,10.1371/journal.pone.0083485,PMC3861494,,Arthrospira,"Huili, PloS one 2013"
2,False,other,1,1,PMT9312_0550,pro,72,2017,Comparison of Protein Extracts from Various Unicellular Green Sources.,10.1021/acs.jafc.7b01788,PMC5599872,,Arthrospira,"Teuling, Journal of agricultural and food chemistry 2017"
2,False,other,1,1,PMT1742,pro,70,2016,Rapid Classification and Identification of Microcystis aeruginosa Strains Using MALDI-TOF MS and Polygenetic Analysis,10.1371/journal.pone.0156275,PMC4881969,,Microcystis,"Sun, PloS one 2016"
2,False,other,1,1,PMT1742,pro,70,2016,Calcium impacts carbon and nitrogen balance in the filamentous cyanobacterium Anabaena sp. PCC 7120,10.1093/jxb/erw112,PMC4915528,,Nostoc,"Walter, Journal of experimental botany 2016"
2,False,other,1,1,SYNW1780,syn,67,2026,Micromonas commoda N-Acetyl-L-Glutamate Kinase Reflects Specificity in the Control of Arginine Synthesis at the Base of the Green Line,10.3390/ijms27041939,PMC12940695,,Synechococcus,", International journal of molecular sciences 2026"
2,False,other,1,1,SYNW1780,syn,67,2020,Interaction of N-acetyl-l-glutamate kinase with the PII signal transducer in the non-photosynthetic alga Polytomella parva: Co-evolution towards a hetero-oligomeric enzyme,10.1111/febs.14989,PMC7027753,,Synechococcus;Synechocystis,"Selim, The FEBS journal 2020"
2,False,other,1,1,SYNW1780,syn,64,2023,The genome sequence of Synechocystis sp. PCC 6803 substrain GT-T and its implications for the evolution of PCC 6803 substrains,10.1002/2211-5463.13576,PMC10068330,,Synechocystis,"Koskinen, FEBS open bio 2023"
2,False,other,1,1,SYNW1780,syn,64,2002,"Comparative analysis of chloroplast genomes: functional annotation, genome-based phylogeny, and deduced evolutionary patterns",10.1101/gr.209402,PMC187516,,Synechocystis,"De, Genome research 2002"
2,False,other,1,1,SYNW1780,syn,64,2012,Microevolution in cyanobacteria: re-sequencing a motile substrain of Synechocystis sp. PCC 6803,10.1093/dnares/dss024,PMC3514855,,Synechocystis,"Trautmann, DNA research : an international journal for rapid publication of reports on genes and genomes 2012"
2,False,other,1,1,SYNW1780,syn,64,2013,Integrated OMICS guided engineering of biofuel butanol-tolerance in photosynthetic Synechocystis sp. PCC 6803,10.1186/1754-6834-6-106,PMC3726282,,Synechocystis,"Zhu, Biotechnology for biofuels 2013"
2,False,other,1,1,SYNW1780,syn,64,2019,"The Signal Transduction Protein PII Controls Ammonium, Nitrate and Urea Uptake in Cyanobacteria",10.3389/fmicb.2019.01428,PMC6603209,,Synechocystis,"Watzer, Frontiers in microbiology 2019"
2,False,other,1,1,BL107_07454,syn,62,2010,Integrative analysis of large scale expression profiles reveals core transcriptional response and coordination between multiple cellular processes in a cyanobacterium,10.1186/1752-0509-4-105,PMC2924297,,Synechocystis,"Singh, BMC systems biology 2010"
2,False,other,1,1,BL107_07454,syn,62,2001,Highly expressed and alien genes of the Synechocystis genome,10.1093/nar/29.7.1590,PMC31270,,Synechocystis,"Mrázek, Nucleic acids research 2001"
2,False,other,1,1,BL107_07454,syn,62,2012,"Iron deprivation in Synechocystis: inference of pathways, non-coding RNAs, and regulatory elements from comprehensive expression profiling",10.1534/g3.112.003863,PMC3516471,,Synechocystis,"Hernández-Prieto, G3 (Bethesda, Md.) 2012"
2,False,other,1,1,SYNPCC7002_C0017,syn,62,2013,CRISPR-Cas systems in the cyanobacterium Synechocystis sp. PCC6803 exhibit distinct processing pathways involving at least two Cas6 and a Cmr2 protein,10.1371/journal.pone.0056470,PMC3575380,,Synechocystis,"Scholz, PloS one 2013"
2,False,other,1,1,BL107_07454,syn,62,2011,A freshwater cyanophage whose genome indicates close relationships to photosynthetic marine cyanomyophages,10.1111/j.1462-2920.2011.02502.x,PMC4185292,,Cyanothece,"Dreher, Environmental microbiology 2011"
2,False,other,1,1,SynWH7803_0353,syn,57,2002,Second- and third-hand chloroplasts in dinoflagellates: phylogeny of oxygen-evolving enhancer 1 (PsbO) protein reveals replacement of a nuclear-encoded plastid gene by that of a haptophyte tertiary endosymbiont,10.1073/pnas.142091799,PMC123134,,Nostoc;Synechococcus;Synechocystis,"Ishida, Proceedings of the National Academy of Sciences of the United States of America 2002"
