locus_tag,term_id,term_name
PMM1511,go:0005737,cytoplasm
PMM1511,go:0005840,ribosome
PMM1511,go:0022627,cytosolic small ribosomal subunit
PMM1511,go:1990904,ribonucleoprotein complex
PMM1512,go:0005575,cellular_component
PMM1512,go:0005737,cytoplasm
PMM1514,go:0005575,cellular_component
PMM1514,go:0005737,cytoplasm
PMM1519,go:0009538,photosystem I reaction center
PMM1519,go:0030094,plasma membrane-derived photosystem I
PMM1520,go:0009538,photosystem I reaction center
PMM1520,go:0030094,plasma membrane-derived photosystem I
PMM1520,go:0031676,plasma membrane-derived thylakoid membrane
PMM1521,go:0016020,membrane
PMM1522,go:0005886,plasma membrane
PMM1523,go:0009538,photosystem I reaction center
PMM1523,go:0030094,plasma membrane-derived photosystem I
PMM1523,go:0042651,thylakoid membrane
PMM1524,go:0009538,photosystem I reaction center
PMM1524,go:0009579,thylakoid
PMM1524,go:0016020,membrane
PMM1527,go:0005829,cytosol
PMM1529,go:0005737,cytoplasm
PMM1530,go:0005840,ribosome
PMM1530,go:0022625,cytosolic large ribosomal subunit
PMM1531,go:0022627,cytosolic small ribosomal subunit
PMM1532,go:0005737,cytoplasm
PMM1532,go:0005840,ribosome
PMM1532,go:0022625,cytosolic large ribosomal subunit
PMM1532,go:1990904,ribonucleoprotein complex
PMM1534,go:0022625,cytosolic large ribosomal subunit
PMM1535,go:0005575,cellular_component
PMM1535,go:0005737,cytoplasm
PMM1535,go:0030880,RNA polymerase complex
PMM1536,go:0005840,ribosome
PMM1536,go:0022627,cytosolic small ribosomal subunit
PMM1537,go:0005829,cytosol
PMM1537,go:0022627,cytosolic small ribosomal subunit
PMM1538,go:0022625,cytosolic large ribosomal subunit
PMM1538,go:0022627,cytosolic small ribosomal subunit
PMM1539,go:0005829,cytosol
PMM1540,go:0005886,plasma membrane
PMM1540,go:0031676,plasma membrane-derived thylakoid membrane
PMM1541,go:0005840,ribosome
PMM1541,go:0022625,cytosolic large ribosomal subunit
PMM1542,go:0005840,ribosome
PMM1542,go:0022627,cytosolic small ribosomal subunit
PMM1543,go:0022625,cytosolic large ribosomal subunit
PMM1544,go:0022625,cytosolic large ribosomal subunit
PMM1545,go:0022627,cytosolic small ribosomal subunit
PMM1546,go:0022625,cytosolic large ribosomal subunit
PMM1547,go:0005840,ribosome
PMM1547,go:0022625,cytosolic large ribosomal subunit
PMM1548,go:0022625,cytosolic large ribosomal subunit
PMM1549,go:0005840,ribosome
PMM1549,go:0022627,cytosolic small ribosomal subunit
PMM1550,go:0000315,organellar large ribosomal subunit
PMM1550,go:0005840,ribosome
PMM1550,go:0022625,cytosolic large ribosomal subunit
PMM1551,go:0022625,cytosolic large ribosomal subunit
PMM1552,go:0022627,cytosolic small ribosomal subunit
PMM1553,go:0005840,ribosome
PMM1553,go:0022625,cytosolic large ribosomal subunit
PMM1554,go:0022627,cytosolic small ribosomal subunit
PMM1555,go:0022625,cytosolic large ribosomal subunit
PMM1556,go:0022625,cytosolic large ribosomal subunit
PMM1557,go:0022625,cytosolic large ribosomal subunit
PMM1557,go:1990904,ribonucleoprotein complex
PMM1558,go:0005840,ribosome
PMM1558,go:0022625,cytosolic large ribosomal subunit
PMM1559,go:0016020,membrane
PMM1559,go:0042651,thylakoid membrane
PMM1562,go:0005575,cellular_component
PMM1562,go:0005829,cytosol
PMM1563,go:0005575,cellular_component
PMM1568,go:0016020,membrane
PMM1569,go:0005737,cytoplasm
PMM1572,go:0005829,cytosol
PMM1575,go:0005575,cellular_component
PMM1575,go:0005829,cytosol
