child_id,parent_id,child_level,parent_level
go:0033646,go:0033643,5,4
go:0045259,go:1902494,3,2
go:0045259,go:0098803,3,2
go:0045259,go:0034703,3,5
go:0045259,go:0016469,3,3
go:0000314,go:0015935,4,4
go:0000314,go:0000313,4,3
go:0098024,go:0098015,2,2
go:0098024,go:0044423,2,1
go:1903600,go:1902494,3,2
go:0009897,go:0098552,3,2
go:0009897,go:0009986,3,2
go:0009897,go:0005886,3,3
go:0018995,go:0044217,3,2
go:0033179,go:0033176,4,4
go:0033179,go:0033177,4,3
go:0099081,go:0099080,3,2
go:0045254,go:1902493,5,4
go:0045254,go:0045240,5,4
go:0009276,go:0030313,3,2
go:0009276,go:0009274,3,4
go:0005761,go:0005759,4,4
go:0005761,go:0000313,4,3
go:0009428,go:0009426,2,2
go:0009428,go:0110165,2,1
go:0019866,go:0031967,3,2
go:0019866,go:0031090,3,3
go:0045252,go:1990234,4,3
go:0045252,go:0045240,4,4
go:0045252,go:0045239,4,3
go:0031676,go:0098590,4,3
go:0031676,go:0042717,4,3
go:0031676,go:0042651,4,4
go:0031676,go:0030075,4,6
go:0008305,go:0098802,3,3
go:0008305,go:0098636,3,2
go:0009427,go:0009426,2,2
go:0009427,go:0110165,2,1
go:0009338,go:1902494,3,2
go:0009338,go:0140535,3,2
go:0070013,go:0043229,4,3
go:0070013,go:0043233,4,3
go:0005658,go:0043601,4,3
go:0005658,go:0055029,4,3
go:0005658,go:0042575,4,3
go:1990229,go:0005737,2,2
go:1990229,go:0032991,2,1
go:0005871,go:0005875,3,2
go:0005840,go:0043232,5,4
go:0030894,go:0005657,3,2
go:0030894,go:0032993,3,2
go:0000932,go:0036464,4,3
go:0098561,go:0032991,2,1
go:0005740,go:0005739,3,3
go:0005740,go:0031967,3,2
go:0009339,go:0005737,3,2
go:0009339,go:1990204,3,3
go:0009526,go:0009536,3,3
go:0009526,go:0031967,3,2
go:0001518,go:0098797,4,3
go:0001518,go:0034706,4,6
go:0009319,go:1990204,3,3
go:0009319,go:1902495,3,3
go:0009319,go:0098803,3,2
go:0009319,go:0070069,3,3
go:0009503,go:0098807,3,3
go:0009503,go:0030076,3,2
go:0120100,go:0009425,2,2
go:0120100,go:0110165,2,1
go:0030096,go:0098797,3,3
go:0030096,go:0009523,3,4
go:0030096,go:0030075,3,6
go:0030096,go:0005737,3,2
go:1902503,go:0061695,5,4
go:0009539,go:0098796,3,2
go:0009539,go:0009523,3,4
go:0140513,go:0005634,2,5
go:0140513,go:0032991,2,1
go:0005952,go:1902554,3,6
go:0005952,go:0140535,3,2
go:0031982,go:0043227,4,3
go:0035550,go:0005737,3,2
go:0035550,go:1902494,3,2
go:0045239,go:0005737,3,2
go:0045239,go:1902494,3,2
go:0098588,go:0031090,4,3
go:0009344,go:1902494,3,2
go:0005763,go:0005761,3,4
go:0005763,go:0098798,3,2
go:0005763,go:0000314,3,4
go:1990228,go:0005829,3,2
go:1990228,go:1990234,3,3
go:0015050,go:1990204,4,3
go:0009507,go:0009536,4,3
go:0009501,go:0009536,4,3
go:1990133,go:0005829,3,2
go:1990133,go:1902503,3,5
go:0061695,go:1990234,4,3
go:0009536,go:0005737,3,2
go:0009536,go:0043231,3,4
go:0098533,go:1902495,4,3
go:0031421,go:1902494,3,2
go:0031421,go:0140535,3,2
go:1990103,go:1990077,4,3
go:0009355,go:0042575,4,3
go:0045240,go:1990204,4,3
go:0030139,go:0031410,4,3
go:1990230,go:1990234,4,3
go:0005802,go:0098791,4,3
go:0031317,go:1990351,3,2
go:0005901,go:0044853,5,4
go:0005794,go:0012505,3,2
go:0005794,go:0005737,3,2
go:0005794,go:0043231,3,4
go:0030694,go:0009425,2,2
go:0030694,go:0110165,2,1
go:1990234,go:1902494,3,2
go:0009326,go:1990204,4,3
go:0031240,go:0009279,3,3
go:0031240,go:0098552,3,2
go:0042709,go:0045239,4,3
go:1990391,go:1902494,3,2
go:0009289,go:0042995,3,2
go:0035770,go:0099080,3,2
go:0035770,go:0043232,3,4
go:1990204,go:1902494,3,2
go:0000315,go:0015934,4,4
go:0000315,go:0000313,4,3
go:1905369,go:1905368,4,3
go:0000228,go:0031981,6,5
go:0000228,go:0005694,6,5
go:0009337,go:1902494,3,2
go:0009337,go:0140535,3,2
go:0009523,go:0009521,4,3
go:0009522,go:0009521,4,3
go:1905368,go:1902494,3,2
go:0009579,go:0043232,5,4
go:0034707,go:0034702,5,4
go:0032993,go:0032991,2,1
go:0070992,go:0005737,3,2
go:0070992,go:1990904,3,2
go:0009941,go:0009507,4,4
go:0009941,go:0009526,4,3
go:0009328,go:0005737,3,2
go:0009328,go:1902494,3,2
go:0031250,go:0005737,3,2
go:0031250,go:1902494,3,2
go:0005829,go:0110165,2,1
go:0005829,go:0005737,2,2
go:0043601,go:0043596,3,3
go:0043601,go:0140513,3,2
go:0043601,go:0030894,3,3
go:1990220,go:0016465,4,3
go:0009349,go:1990234,4,3
go:0043226,go:0110165,2,1
go:0045277,go:1902495,3,3
go:0045277,go:0098803,3,2
go:0045277,go:0070069,3,3
go:0045271,go:1902495,3,3
go:0045271,go:0098803,3,2
go:0045271,go:0030964,3,3
go:0061672,go:1905368,4,3
go:0030428,go:0110165,2,1
go:0098803,go:0032991,2,1
go:0009341,go:1902494,3,2
go:0043231,go:0043229,4,3
go:0043231,go:0043227,4,3
go:0005730,go:0031981,5,5
go:0005730,go:0043232,5,4
go:0033178,go:0016469,3,3
