locus_tag,term_id,term_name
PMM0241,go:0005975,carbohydrate metabolic process
PMM0241,go:0009103,lipopolysaccharide biosynthetic process
PMM0241,go:0009252,peptidoglycan biosynthetic process
PMM0242,go:0045454,cell redox homeostasis
PMM0243,go:0006231,dTMP biosynthetic process
PMM0244,go:0006229,dUTP biosynthetic process
PMM0244,go:0009394,2^-deoxyribonucleotide metabolic process
PMM0244,go:0015949,nucleobase-containing small molecule interconversion
PMM0245,go:0006779,porphyrin-containing compound biosynthetic process
PMM0245,go:0019250,aerobic cobalamin biosynthetic process
PMM0246,go:0006355,regulation of DNA-templated transcription
PMM0246,go:0006808,regulation of nitrogen utilization
PMM0248,go:0006139,nucleobase-containing compound metabolic process
PMM0250,go:0006412,translation
PMM0251,go:0015979,photosynthesis
PMM0252,go:0015979,photosynthesis
PMM0253,go:0010206,photosystem II repair
PMM0253,go:0010207,photosystem II assembly
PMM0253,go:0015979,photosynthesis
PMM0255,go:0008652,amino acid biosynthetic process
PMM0255,go:0009098,L-leucine biosynthetic process
PMM0256,go:0008652,amino acid biosynthetic process
PMM0256,go:0009098,L-leucine biosynthetic process
PMM0257,go:0006777,Mo-molybdopterin cofactor biosynthetic process
PMM0258,go:0006544,glycine metabolic process
PMM0258,go:0019264,glycine biosynthetic process from L-serine
PMM0261,go:0008360,regulation of cell shape
PMM0261,go:0009252,peptidoglycan biosynthetic process
PMM0261,go:0034204,lipid translocation
PMM0262,go:0000023,maltose metabolic process
PMM0263,go:0072488,ammonium transmembrane transport
PMM0263,go:0097272,ammonium homeostasis
PMM0264,go:0015968,stringent response
PMM0264,go:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway"
PMM0264,go:0046677,response to antibiotic
PMM0264,go:0050992,dimethylallyl diphosphate biosynthetic process
PMM0266,go:0006164,purine nucleotide biosynthetic process
PMM0266,go:0006189,^de novo^ IMP biosynthetic process
PMM0266,go:0015949,nucleobase-containing small molecule interconversion
PMM0269,go:0007165,signal transduction
PMM0270,go:0009236,cobalamin biosynthetic process
PMM0271,go:0006400,tRNA modification
PMM0271,go:0008616,tRNA queuosine(34) biosynthetic process
