experiment_id,organism,genus,omics_type,locus_tag,gene_name,product,gene_category,best_rank,direction,log2fc,padj,timepoint
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_05530,,TonB-dependent receptor,Inorganic ion transport,10.0,up,4.62650330861408,7.360258216399491e-09,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_proteomics_axenic,Alteromonas macleodii HOT1A3,Alteromonas,PROTEOMICS,ACZ81_07645,,vWA domain-containing protein,Unknown,10.0,down,-2.91936270395914,5.46604880169994e-06,day 31
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_05060,flaA,flagellin N-terminal helical domain-containing protein,Cell motility,1.0,down,-6.256732193512743,7.240706240223244e-26,day 60
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_05680,slyA,MarR family winged helix-turn-helix transcriptional regulator,Transcription,1.0,up,7.099580576508896,1.5777451704036888e-05,day 18
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_07715,romA,MBL fold metallo-hydrolase,Unknown,1.0,down,-5.662715347299915,3.2450368878266616e-11,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_11420,,DUF1852 domain-containing protein,Unknown,1.0,down,-4.052287950417636,6.832227481043917e-09,day 18
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_14325,,retropepsin-like aspartic protease,Unknown,1.0,up,7.881659730456786,1.152268116949121e-07,day 89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_03035,,hypothetical protein,Unknown,2.0,down,-5.291440771255956,1.803088219219196e-21,days 60+89
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_05065,flaA,flagellin N-terminal helical domain-containing protein,Cell motility,2.0,down,-5.773126360291273,2.3242146548256877e-17,day 60
10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_hot1a3_rnaseq_coculture,Alteromonas macleodii HOT1A3,Alteromonas,RNASEQ,ACZ81_16595,rutC,pyrimidine utilization protein C,Translation,2.0,up,6.587431775891576,2.2604407237422362e-09,day 60
