locus_tag,gene_name,experiment_id,treatment_type,timepoint,timepoint_hours,timepoint_order,log2fc,padj,rank,rank_up,rank_down,expression_status
PMM0373,cynS,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.24729983011881,1.78212485395515e-05,23,14.0,,significant_up
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.23080062866211,8.8325962497014e-05,24,15.0,,significant_up
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,2.21589183807374,0.0022579902918395,46,35.0,,significant_up
PMM0972,urtC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.20229911804199,1.93750018709816e-05,36,30.0,,significant_up
PMM0372,cynD,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,2.17991366596472,0.01,78,25.0,,significant_up
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 60,1440.0,3,-2.173486157594152,0.0118436057634676,65,,31.0,significant_down
PMM0246,ntcA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,2.17,0.0,172,81.0,,significant_up
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,0h,0.0,1,-2.166458145,1.0,21,,,not_significant
PMM0263,amt1,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-2.145913194,0.782864205,672,,,not_significant
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,2.13397534688314,0.0023777617546765,8,8.0,,significant_up
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 14,336.0,1,2.12048435211182,8.88446794862496e-05,28,5.0,,significant_up
PMM1463,glnB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,2.109289489,1.0,14,,,not_significant
PMM0371,cynB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,2.10887801596109,0.01,130,31.0,,significant_up
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.10725593566895,8.01644774392301e-06,30,18.0,,significant_up
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,2.1014755889527947,1.3632077421037737e-05,381,148.0,,significant_up
PMM0970,urtA,10.1038/ismej.2015.36_carbon_stress_air_0036_co2_21_med4_microarray,carbon_stress,,,1,2.1,,4,1.0,,significant_up
PMM0370,cynA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 14,336.0,1,2.09205468495687,3.06387677674992e-06,30,7.0,,significant_up
PMM0973,urtD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.09128061930339,8.01644774392301e-06,35,19.0,,significant_up
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,2.09054247538249,0.0005335963518002,41,34.0,,significant_up
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,-2.0842747712258936,0.0243547283264829,68,,31.0,significant_down
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,2.06486018498738,7.3072354827046e-05,45,40.0,,significant_up
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,days 60+89,,5,-2.0562430846825928,0.0020916650355458,57,,27.0,significant_down
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,2.04997984568278,0.0001194408822579,61,47.0,,significant_up
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,2.03917789459228,0.0005544788392701,62,48.0,,significant_up
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 31,744.0,2,-2.033906878694434,0.0069384622838446,80,,32.0,significant_down
PMM0972,urtC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,2.02046203613281,4.91086340563671e-05,40,20.0,,significant_up
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 60,1440.0,3,-2.015510978873359,0.0138730642987174,84,,44.0,significant_down
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 89,2136.0,3,2.01357873280843,8.6367599407463e-05,151,74.0,,significant_up
PMM0974,urtE,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,1.98950703938802,2.22202184705552e-05,43,21.0,,significant_up
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 31,744.0,2,1.98948542277019,9.11273952595379e-05,170,49.0,,significant_up
PMM0370,cynA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,3h,3.0,1,-1.98,0.09,118,,,not_significant
PMM0371,cynB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,1.92816297994649,0.01,81,19.0,,significant_up
PMM0965,ureA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,1.90550104081613,0.01,57,21.0,,significant_up
PMM0970,urtA,10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_dark,light_stress,8.5h post-inoculation,8.5,4,-1.899,,18,,15.0,significant_down
PMM0970,urtA,10.1073/pnas.0601301103_phosphorus_stress_phosphate_starvation_med4_microarray,phosphorus_stress,48h,48.0,5,-1.883,0.0256,32,,2.0,significant_down
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,days 60+89,,5,-1.878098085118968,0.013468811571469,73,,33.0,significant_down
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 14,336.0,1,1.86500326792399,0.0002207182174203,39,9.0,,significant_up
PMM0963,ureC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 31,744.0,2,1.85950660705567,3.38928784388999e-06,191,60.0,,significant_up
PMM0965,ureA,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,1.832505607196949,0.053149961634265,43,,,not_significant
PMM0963,ureC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 89,2136.0,3,1.82478745778402,3.57809822239236e-06,191,99.0,,significant_up
PMM0963,ureC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,1.82390848795573,2.63247507809927e-05,59,49.0,,significant_up
PMM0964,ureB,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,3h,3.0,1,-1.82,0.1,154,,,not_significant
PMM0963,ureC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,1.79564603169759,0.0004868286644235,13,10.0,,significant_up
PMM0971,urtB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 60,1440.0,3,-1.7883222632540208,0.0111741507645946,115,,62.0,significant_down
PMM1462,,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,3h,3.0,1,-1.78,0.23,167,,,not_significant
PMM0970,urtA,10.1038/nature06130_viral_phage_infected_med4_microarray,viral,5h,5.0,5,-1.77,1.0,11,,,not_significant
PMM0971,urtB,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,1.7606794646425763,0.0635788284060738,45,,,not_significant
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,1.76032638549805,0.0032116452692161,15,11.0,,significant_up
PMM0970,urtA,10.1038/nature06130_viral_phage_infected_med4_microarray,viral,7h,7.0,7,-1.75,1.0,15,,,not_significant
PMM1463,glnB,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,3h,3.0,1,-1.74,0.23,172,,,not_significant
PMM0971,urtB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 31,744.0,2,-1.7278095203483936,0.0134864998914054,125,,62.0,significant_down
PMM0246,ntcA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,1.71,0.26,237,,,not_significant
PMM0373,cynS,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,1.71,0.22,236,,,not_significant
PMM0373,cynS,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,1.7087459564209,0.0012403878123784,17,12.0,,significant_up
PMM0373,cynS,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,1.704603902272844,0.0092396064892273,50,40.0,,significant_up
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 60,1440.0,3,-1.7014965249685456,0.0588455210576937,129,,,not_significant
PMM0972,urtC,10.1038/ismej.2015.36_carbon_stress_low_co2_0004_co2_med4_microarray,carbon_stress,,,1,-1.7,,81,,53.0,significant_down
PMM0373,cynS,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,1.698942439,1.0,197,,,not_significant
PMM0972,urtC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,1.69619687398275,0.0017487735074487,18,13.0,,significant_up
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,1.67965300850396,0.01,130,24.0,,significant_up
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 60,1440.0,3,-1.6791831482157482,0.0305345707580322,133,,73.0,significant_down
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 31,744.0,2,-1.6759261001964705,0.0589385717329309,136,,,not_significant
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,1.66582997639974,0.0188618836692164,20,14.0,,significant_up
PMM0920,glnA,10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_dark,light_stress,8.5h post-inoculation,8.5,4,-1.665,,24,,20.0,significant_down
PMM0963,ureC,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,1.66,0.05,256,110.0,,significant_up
PMM0970,urtA,10.1073/pnas.0601301103_phosphorus_stress_phosphate_starvation_med4_microarray,phosphorus_stress,0h,0.0,1,-1.657,0.0285,2,,2.0,significant_down
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,days 60+89,,5,-1.6465981369918592,0.0351419852235034,103,,50.0,significant_down
PMM0372,cynD,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,1.644904733618078,0.0123179722111725,52,41.0,,significant_up
PMM0963,ureC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,1.63175376256307,1.49873220413553e-05,81,66.0,,significant_up
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 31,744.0,2,1.61139933268229,0.0001160019291582,260,100.0,,significant_up
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 14,336.0,1,1.60331058502197,0.0107429971839741,60,13.0,,significant_up
PMM0971,urtB,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-1.59669374,0.490753224,862,,,not_significant
PMM0970,urtA,10.1038/nature06130_viral_phage_infected_med4_microarray,viral,6h,6.0,6,-1.59,1.0,17,,,not_significant
PMM0971,urtB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,3h,3.0,2,1.584842403,1.0,23,,,not_significant
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 31,744.0,2,-1.582427219583685,0.0843510400391954,153,,,not_significant
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 14,336.0,1,1.57325267791748,0.0006064934109148,61,14.0,,significant_up
PMM0965,ureA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,3h,3.0,1,-1.57,0.14,221,,,not_significant
PMM0373,cynS,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,1.56613691085493,0.0022446784938948,121,47.0,,significant_up
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,-1.5658727179522918,0.3403549613490103,122,,,not_significant
PMM1463,glnB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,1.54023927,1.0,231,,,not_significant
PMM0263,amt1,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 60,1440.0,3,-1.5390575528420043,0.0386599746401356,179,,104.0,significant_down
PMM0372,cynD,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,6h,6.0,3,1.53130361811556,0.01,92,39.0,,significant_up
PMM0964,ureB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,1.52424176534017,0.0059570821806216,28,15.0,,significant_up
PMM0970,urtA,10.1038/nature06130_viral_phage_infected_med4_microarray,viral,8h,8.0,8,-1.52,1.0,21,,,not_significant
PMM0970,urtA,10.1371/journal.pone.0165375_light_stress_constant_dark_med4_rnaseq_infected,light_stress,8.5h post-inoculation,8.5,5,-1.515,,28,,24.0,significant_down
PMM0970,urtA,10.1038/nature06130_viral_phage_infected_med4_microarray,viral,4h,4.0,4,-1.51,1.0,20,,,not_significant
PMM0965,ureA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,1.5016806356999,0.01,229,75.0,,significant_up
PMM0920,glnA,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,3h,3.0,1,1.5,1.0,237,,,not_significant
PMM0974,urtE,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,1.49956321716309,0.0017487735074487,31,17.0,,significant_up
PMM0972,urtC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 89,2136.0,3,1.49678579966227,0.0016531803615837,290,157.0,,significant_up
PMM0971,urtB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,1.48985068003337,0.0006205586322685,123,88.0,,significant_up
PMM0372,cynD,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,1.46954583994354,0.01,180,31.0,,significant_up
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 18,432.0,1,-1.4581215417256552,0.3077875208122694,59,,,not_significant
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 31,744.0,2,-1.44952583312988,1.19495319538646e-05,300,,172.0,significant_down
PMM0973,urtD,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,1.444144393237626,0.0256429990840554,66,46.0,,significant_up
PMM0393,pipX,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,-1.440531926,1.0,260,,,not_significant
PMM0963,ureC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,1.43959903717041,0.0001993860221699,141,94.0,,significant_up
PMM0973,urtD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,1.43806902567546,0.0008850857820164,35,19.0,,significant_up
PMM0970,urtA,10.1038/nature06130_viral_phage_infected_med4_microarray,viral,1h,1.0,1,1.43,0.05,16,4.0,,significant_up
PMM0971,urtB,10.1038/ismej.2015.36_carbon_stress_low_co2_and_no_med4_microarray,carbon_stress,,,1,-1.4,,116,,91.0,significant_down
PMM0972,urtC,10.1038/ismej.2015.36_carbon_stress_air_0036_co2_21_med4_microarray,carbon_stress,,,1,1.4,,23,10.0,,significant_up
PMM0920,glnA,10.1038/msb4100087_growth_medium_growth_on_cyanate_as_med4_microarray,nitrogen_stress,,,1,1.39901265866978,0.01,37,6.0,,significant_up
PMM0263,amt1,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,1.3913118685918795,0.1977833184294703,69,,,not_significant
PMM0971,urtB,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,24h,24.0,3,1.39,0.08,326,,,not_significant
PMM0974,urtE,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,1.38696352640788,0.0004058986546628,127,85.0,,significant_up
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 31,744.0,2,1.38018099466959,0.000453055859293,338,141.0,,significant_up
PMM0971,urtB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,1.3784273298087533,0.0291730244584333,670,291.0,,significant_up
PMM0963,ureC,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,1.3686487195269106,1.0856378755887778e-06,671,292.0,,significant_up
PMM0971,urtB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,1.35366741816203,0.0003824048914839,129,93.0,,significant_up
PMM0372,cynD,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,1.350649249,1.0,299,,,not_significant
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 18,432.0,1,1.34688440958659,0.0017487735074487,40,21.0,,significant_up
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,1.34489758809407,0.0047188844916412,137,90.0,,significant_up
PMM1462,,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,1.333507296450751,0.5156487820520308,76,,,not_significant
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 31,744.0,2,1.33327420552572,0.0721109025683839,358,,,not_significant
PMM0964,ureB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,1.32778315629641,0.01,285,90.0,,significant_up
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 89,2136.0,3,1.32659308115642,0.0005205263174463,356,197.0,,significant_up
PMM0974,urtE,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_axenic,nitrogen_stress,day 14,336.0,1,1.3202410768900066,0.0055362407899833,702,304.0,,significant_up
PMM0971,urtB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 31,744.0,2,1.30950546264649,0.0016834975821323,142,57.0,,significant_up
PMM1463,glnB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,24h,24.0,5,1.30876661065235,0.01,236,41.0,,significant_up
PMM0373,cynS,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 14,336.0,1,1.30489826202393,0.0347277383696124,102,20.0,,significant_up
PMM0972,urtC,10.1038/ismej.2015.36_carbon_stress_low_co2_and_no_med4_microarray,carbon_stress,,,1,-1.3,,130,,102.0,significant_down
PMM0687,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 60,1440.0,3,-1.2947869559092218,0.1456840846630396,268,,,not_significant
PMM0373,cynS,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,1.289198572,1.0,303,,,not_significant
PMM1463,glnB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 14,336.0,1,1.27472082773845,0.0030376430817297,106,22.0,,significant_up
PMM0371,cynB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 14,336.0,1,1.27374362945557,0.16176371197448,107,,,not_significant
PMM0372,cynD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,1.2735704221025266,0.0186913289038617,221,88.0,,significant_up
PMM0372,cynD,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-1.262193429,0.542521742,1000,,,not_significant
PMM0920,glnA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,-1.2614457344339756,0.2005721523922351,228,,,not_significant
PMM0973,urtD,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 89,2136.0,4,1.26094150543213,0.0001916968065166,189,122.0,,significant_up
PMM0246,ntcA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,days 60+89,,5,1.25750271479289,0.001611065647309,156,109.0,,significant_up
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_axenic,nitrogen_stress,day 89,2136.0,3,1.25440692901611,0.0130553170607451,400,221.0,,significant_up
PMM0964,ureB,10.1101/2025.11.24.690089_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,day 11,264.0,1,1.2542412187499867,0.1116990383918437,86,,,not_significant
PMM0971,urtB,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,1.25303331253527,0.01,323,105.0,,significant_up
PMM0970,urtA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 31,744.0,2,-1.251171583457403,0.1534384012051788,300,,,not_significant
PMM1512,glsF,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,12h,12.0,4,1.24648614137608,0.01,328,108.0,,significant_up
PMM0965,ureA,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,day 89,2136.0,4,-1.2444560709143389,0.1088009461466102,235,,,not_significant
PMM0965,ureA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,1.243182442,1.0,340,,,not_significant
PMM0970,urtA,10.1038/nature06130_viral_phage_infected_med4_microarray,viral,3h,3.0,3,-1.24,1.0,30,,,not_significant
PMM1512,glsF,10.1038/ismej.2016.70_coculture_alteromonas_hot1a3_med4_rnaseq,coculture,20h,20.0,1,-1.238454401,0.945885785,1015,,,not_significant
PMM0246,ntcA,10.1038/msb4100087_nitrogen_stress_nitrogen_deprivation_med4_med4_microarray,nitrogen_stress,48h,48.0,6,1.22622802,1.0,353,,,not_significant
PMM0971,urtB,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_proteomics_coculture,nitrogen_stress,day 60,1440.0,3,1.21748415629069,0.0033562592224875,191,118.0,,significant_up
PMM0963,ureC,10.1038/ismej.2017.88_nitrogen_stress_ndepleted_pro99_medium_med4_rnaseq,nitrogen_stress,12h,12.0,2,1.2,0.38,365,,,not_significant
PMM0958,,10.1101/2025.11.24.690089_growth_state_pro99lown_nutrient_starvation_med4_rnaseq_coculture,nitrogen_stress,days 60+89,,5,-1.193118936203121,0.3900626599297178,231,,,not_significant
